kepid,koi_disposition,koi_period,koi_prad,koi_teq,koi_score,koi_steff,koi_srad,koi_insol,stellar_class,is_planet,transit_ratio
6867155,CANDIDATE,154.608014,10.59,188.0,0.998,4245.0,0.657,0.29,K,0,31.4129900148643
6948054,CONFIRMED,7.49018305,2.56,753.0,1.0,5103.0,0.787,76.06,K,1,150.00968501030158
6948054,CONFIRMED,36.2761238,3.03,445.0,1.0,5103.0,0.787,9.29,K,1,43.35082790736313
6948054,CONFIRMED,17.46087931,2.32,568.0,1.0,5103.0,0.787,24.6,K,1,46.52686646397764
6435936,CONFIRMED,56.0560754,1.94,233.0,0.996,3593.0,0.491,0.69,M,1,29.00666856174523
6522242,CONFIRMED,41.408316686,11.38,453.0,0.974,5522.0,0.747,9.93,G,1,117.2880326633039
6526710,CANDIDATE,39.74893077,14.21,552.0,0.994,6122.0,0.964,21.87,F,0,122.18441869801268
6587280,CONFIRMED,5.715425977,2.47,850.0,1.0,5237.0,0.826,123.03,G,1,158.88579497912724
9471974,CONFIRMED,49.18394185,8.2,669.0,0.959,5626.0,2.057,47.4,G,1,33.470273794250595
6587280,CONFIRMED,20.0261412,2.28,559.0,0.994,5237.0,0.826,23.14,G,1,21.032509248461704
6599919,CANDIDATE,13.61014819,19.02,733.0,0.0,5697.0,0.903,68.29,G,0,356.8440205205436
6675056,FALSE POSITIVE,10.44331991,2.66,667.0,0.0,4947.0,0.802,46.94,K,0,111.05663811844293
6685526,CONFIRMED,2.237489571,1.41,1160.0,1.0,5265.0,0.81,427.17,G,1,141.1403226603017
6756669,FALSE POSITIVE,5.851520671,14.62,901.0,0.0,5532.0,0.806,155.89,G,0,829.9893776449755
6784235,CONFIRMED,3.167893418,2.62,1221.0,1.0,5895.0,0.94,526.23,G,1,246.59920550395236
6849310,CONFIRMED,4.311780262,3.11,1038.0,1.0,5527.0,0.927,274.84,G,1,267.63887069345276
6849310,CONFIRMED,20.0504494,2.69,622.0,1.0,5527.0,0.927,35.44,G,1,41.939209601955355
6849310,CONFIRMED,9.76734503,2.67,791.0,1.0,5527.0,0.927,92.46,G,1,58.265577621352854
6862328,CANDIDATE,119.0207044,8.98,366.0,1.0,5453.0,1.062,4.25,G,0,40.80550543271696
9471974,CONFIRMED,154.608014,7.78,426.0,0.987,5626.0,2.057,7.8,G,1,7.384481376237069
6862603,FALSE POSITIVE,2.861159894,4.37,1355.0,0.0,6126.0,1.021,797.1,F,0,354.50657690506546
7366258,CONFIRMED,26.44439337,3.91,562.0,1.0,5427.0,0.929,23.54,G,1,69.71231951538618
7366258,CONFIRMED,51.53997972,5.51,450.0,0.983,5427.0,0.929,9.67,G,1,70.70821563761376
7366258,CONFIRMED,5.902245782,2.43,926.0,1.0,5427.0,0.929,173.74,G,1,118.98860636095415
7366258,CONFIRMED,2.382951591,1.86,1253.0,1.0,5427.0,0.929,583.01,G,1,164.33401395102032
7373451,CONFIRMED,21.02250608,3.07,521.0,1.0,5067.0,0.75,17.48,K,1,84.31440063591124
6948054,CONFIRMED,3.219814777,1.69,998.0,1.0,5103.0,0.787,234.93,K,1,151.62362862837435
6949607,CONFIRMED,5.912273234,1.73,585.0,1.0,4072.0,0.57,27.72,K,1,162.61088788509127
6949607,CONFIRMED,8.98581901,1.65,509.0,1.0,4072.0,0.57,15.9,K,1,98.07675839222138
7031517,CANDIDATE,12.940668656,22.94,723.0,0.0,5875.0,0.809,64.64,G,0,375.3051816026654
11869052,FALSE POSITIVE,20.5452375,2.41,742.0,0.573,5670.0,1.264,71.57,G,0,10.63506810276591
7109675,CONFIRMED,33.60123371,8.46,495.0,1.0,5149.0,0.93,14.22,K,1,144.53933572547982
7109675,CONFIRMED,6.76652928,1.97,845.0,1.0,5149.0,0.93,120.48,K,1,66.60726368718232
7118364,CONFIRMED,4.347288783,2.36,1174.0,1.0,5754.0,1.122,449.79,G,1,103.88083758455943
7134976,CONFIRMED,4.601811819,2.35,896.0,1.0,4986.0,0.833,152.91,K,1,164.2613887162951
7134976,CONFIRMED,11.18719905,1.55,667.0,0.997,4986.0,0.833,46.65,K,1,31.607554171479592
7135852,CONFIRMED,4.220965778,2.62,595.0,1.0,3837.0,0.517,29.68,K,1,535.4224883270305
7270230,FALSE POSITIVE,6.998099523,48.03,853.0,0.0,5612.0,0.829,125.22,G,0,694.0027051684443
7287995,CONFIRMED,5.95489993,2.33,635.0,1.0,4261.0,0.633,38.52,K,1,236.8973478283119
